relative_path,run_name,bytes,sha256,action,reason
runs/lgvq_spatial_balanced_router_b010/best_observed_test_checkpoint.pt,lgvq_spatial_balanced_router_b010,44918605,02bfc228e25053c6f714b7519f5ece72bf77c6db74b88bd54203358af6e38a3c,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/last_checkpoint.pt,lgvq_spatial_balanced_router_b010,44916039,eb613c05ea1ead2bdd51347cc5590ee349a773c156f238d9af822c37e0e011c6,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0005.pt,lgvq_spatial_balanced_router_b010,6043282,6316813db32ae0a193d29917bf0e80c0121e992a9aefbd1151f6ad1d1b944d47,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0010.pt,lgvq_spatial_balanced_router_b010,6043282,fa0e09cf69a59da2e2a48dba8eb9b429fa515394bc083287e8b39f59c8867f7f,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0015.pt,lgvq_spatial_balanced_router_b010,6043282,6729c54e207f2e6b3abd46c4c472916bcb38cc49faec836e21ecef3f92edb153,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0020.pt,lgvq_spatial_balanced_router_b010,6043282,ef6b65156b6b474057ad2da7d8ecba6b13e4fca21073d893ef0b70d82cf07d86,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0025.pt,lgvq_spatial_balanced_router_b010,6043282,5aeda3e3730f9ef1010ef65915b88a859f64c2b7b71fc0a1baaf1bc55aaf9b1e,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0030.pt,lgvq_spatial_balanced_router_b010,6043282,61781cd588ff04d5169a69b1176a7dcc541f60f3d69490aca47213a6c331b116,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0035.pt,lgvq_spatial_balanced_router_b010,6043282,fc432dd056c3947a9097bb9260f8947aad8713b91be063952fc6eb5359a7eb87,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b010/phase_snapshots/epoch_0040.pt,lgvq_spatial_balanced_router_b010,6043282,682c2921873473141b4ea4452669b564ef264eff988155676479087005b3a8ad,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/best_observed_test_checkpoint.pt,lgvq_spatial_balanced_router_b025,44918605,6612e6b58b02ba492aa0efc0aa9dfca405a7f96f7961899485e275f0cf264852,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/last_checkpoint.pt,lgvq_spatial_balanced_router_b025,44916039,165c6fe487a2d784b0d36b5c7ff285aaeb38f167b66b5e773d3bf3698e765f5c,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0005.pt,lgvq_spatial_balanced_router_b025,6043282,018b422bb084209c8a223918da7b61cbf9b022bd258047f26f1b17e6b6aef4bb,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0010.pt,lgvq_spatial_balanced_router_b025,6043282,e46d4670299e880a16e521bbb01e90602ba92f85e7d0529ea65a121d697d1b29,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0015.pt,lgvq_spatial_balanced_router_b025,6043282,5c36e6fc397f5bb5a5d354c2df707f97b52ff0724fbc180446ee1d9353fc3560,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0020.pt,lgvq_spatial_balanced_router_b025,6043282,d732f976a2a2e1b400bcf2db32c6a0cdc9dd9066ed6eb260ae2c8efec2d97363,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0025.pt,lgvq_spatial_balanced_router_b025,6043282,dd853e29b0406936ecba0eea40f26bf70c238c626980474d61dcdfabac70ba72,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0030.pt,lgvq_spatial_balanced_router_b025,6043282,825d770c79262904db062f97cc310c49ea81323426431afcd58bdcfae77ec57d,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0035.pt,lgvq_spatial_balanced_router_b025,6043282,0e8a0b206d4ed9286146f873ac0e00cb6dadadf11ca5507f8d40364187b89adb,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b025/phase_snapshots/epoch_0040.pt,lgvq_spatial_balanced_router_b025,6043282,33e740c3fcc9839f7c6179917d292893bac71b4b8bc86fdad5da27739976ad21,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/best_observed_test_checkpoint.pt,lgvq_spatial_balanced_router_b050,44918605,fca2f9000b143501c838f0aadd0a61e714613b40c671686331ff8b6c7eab8f4b,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/last_checkpoint.pt,lgvq_spatial_balanced_router_b050,44916039,c172fff5ff726f714e1463e75bb400bfc08743d717aad0b1159dd0e8b650d0b3,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0005.pt,lgvq_spatial_balanced_router_b050,6043282,39da52e4c987e30344dd323707001f2e8a174e94847829b5fad23cc7c612fa1c,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0010.pt,lgvq_spatial_balanced_router_b050,6043282,b912b226e7ec9c1b8fff90f04115b0382ce5c5a0210679d51ca9fc90078fda4a,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0015.pt,lgvq_spatial_balanced_router_b050,6043282,617aa697d89f7078b7faa4f2627a7b620d382350dc647013a3ef5cff58df3ec2,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0020.pt,lgvq_spatial_balanced_router_b050,6043282,3098633480b38d630adbb2da0300673ec8a46c487729e1189ae9d3be831cade2,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0025.pt,lgvq_spatial_balanced_router_b050,6043282,7db42828d590cf7d238b0da3f51b2d0d412b2d49393ad73120ee60cc4338fe19,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0030.pt,lgvq_spatial_balanced_router_b050,6043282,d8171862e602878ea7805d05cdf8a368c6f424b7f5c75589928ceb03f6be0138,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0035.pt,lgvq_spatial_balanced_router_b050,6043282,8b017733a05005d75b9c29158cb77505d5b8f2856c4abbe1c4daa27dab7b0ea4,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_b050/phase_snapshots/epoch_0040.pt,lgvq_spatial_balanced_router_b050,6043282,4742c9bcfd48a9e88a550cf623e609af39ce7b9a69d4dfb7cbd34755ba30b655,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_std_light/best_observed_test_checkpoint.pt,lgvq_spatial_balanced_router_std_light,44919826,bf6dfc452ff6346810a88164e1cbc315578abbee68b872ac6ead23327fdec6fa,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_std_light/last_checkpoint.pt,lgvq_spatial_balanced_router_std_light,44917218,fe0bd3f0a264ce877274e9f82003cb69f98de56ea9e1d912219ba664b4e7d03a,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
runs/lgvq_spatial_balanced_router_std_light/phase_snapshots/epoch_0005.pt,lgvq_spatial_balanced_router_std_light,6043282,9f2d5b79686e01c8ef58c70ea6e5eb3c3232a5ce53abb884584d9e4787f9cc3f,delete,non-formal exploratory checkpoint; scalar/tabular evidence retained in run directory
